"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","test1smoke","chromium","Wed Aug 14 12:16:00 IST 2024","passed","Wed Aug 14 12:16:00 IST 2024","","Tags.spec.js","",""
"","11140","Multiple Upload","chromium","Fri Aug 16 17:29:45 IST 2024","passed","Fri Aug 16 17:29:56 IST 2024","","Spec\HandlingUploadFiles.spec.js","",""
"","19","test1smoke","chromium","Thu Aug 22 12:36:23 IST 2024","passed","Thu Aug 22 12:36:23 IST 2024","","Spec\Tags.spec.js","",""
"","35","test1smokeregression","chromium","Thu Aug 22 12:36:23 IST 2024","passed","Thu Aug 22 12:36:23 IST 2024","","Spec\Tags.spec.js","",""
"","4","Single Upload","chromium","Fri Aug 16 17:29:44 IST 2024","skipped","Fri Aug 16 17:29:44 IST 2024","","Spec\HandlingUploadFiles.spec.js","",""
"","1","1st cases","webkit","Wed Aug 14 12:32:23 IST 2024","skipped","Wed Aug 14 12:32:23 IST 2024","","Spec\HandlingNewTabOrWindow.spec.js","",""
"","7860","Page screenhot","chromium","Wed Aug 14 12:51:27 IST 2024","passed","Wed Aug 14 12:51:35 IST 2024","","Spec\TakingScreenshot.spec.js","",""
"","39847","Double Click","chromium","Thu Aug 22 15:43:59 IST 2024","passed","Thu Aug 22 15:44:39 IST 2024","","Spec\HandlingDoubleClick.spec.js","",""
"","4","First Page2","chromium","Wed Aug 14 12:31:55 IST 2024","skipped","Wed Aug 14 12:31:55 IST 2024","","Spec\HandlingNewTabOrWindow.spec.js","",""
"","4","1st cases","chromium","Wed Aug 14 12:31:55 IST 2024","skipped","Wed Aug 14 12:31:55 IST 2024","","Spec\HandlingNewTabOrWindow.spec.js","",""
"","13","test1regression","chromium","Wed Aug 14 12:01:36 IST 2024","passed","Wed Aug 14 12:01:36 IST 2024","","Spec\Tags.spec.js","",""
"","24","test1sanity","chromium","Wed Aug 14 11:55:10 IST 2024","passed","Wed Aug 14 11:55:10 IST 2024","","Spec\Tags.spec.js","",""
"","15861","2nd","webkit","Wed Aug 14 12:32:25 IST 2024","passed","Wed Aug 14 12:32:41 IST 2024","","Spec\HandlingNewTabOrWindow.spec.js","",""
"","23217","Drag And Drop","chromium","Thu Aug 22 15:43:59 IST 2024","passed","Thu Aug 22 15:44:22 IST 2024","","Spec\HandlingDragAndDrop.spec.js","",""
"","5465","Full page screenhot","chromium","Wed Aug 14 12:55:37 IST 2024","passed","Wed Aug 14 12:55:43 IST 2024","","Spec\TakingScreenshot.spec.js","",""
"","21639","Hidden DropDown","chromium","Tue Aug 13 23:23:08 IST 2024","failed","Tue Aug 13 23:23:29 IST 2024","","Spec\MultiSelectDropDown.spec.js","",""
"","2","First Page2","webkit","Wed Aug 14 12:32:23 IST 2024","skipped","Wed Aug 14 12:32:23 IST 2024","","Spec\HandlingNewTabOrWindow.spec.js","",""
"","33411","Using Select Tag","chromium","Fri Aug 16 17:07:40 IST 2024","broken","Fri Aug 16 17:08:14 IST 2024","","Spec\DropDowns.spec.js","",""
"","31166","Different ENVIRONMENT","chromium","Thu Aug 22 15:43:59 IST 2024","passed","Thu Aug 22 15:44:30 IST 2024","","Spec\DemoWithENVFile.spec.js","",""
"","3","First Page2","firefox","Wed Aug 14 12:39:53 IST 2024","skipped","Wed Aug 14 12:39:53 IST 2024","","Spec\HandlingNewTabOrWindow.spec.js","",""
"","4916","Element screenhot","chromium","Wed Aug 14 14:51:58 IST 2024","passed","Wed Aug 14 14:52:03 IST 2024","","Spec\TakingScreenshot.spec.js","",""
"","25776","2nd","chromium","Wed Aug 14 12:31:56 IST 2024","passed","Wed Aug 14 12:32:22 IST 2024","","Spec\HandlingNewTabOrWindow.spec.js","",""
"","6190","Darshan","chromium","Thu Aug 15 23:10:24 IST 2024","passed","Thu Aug 15 23:10:30 IST 2024","","Spec\TestingAppWithDifferentData.spec.js","",""
"","45","test1smokeregression","chromium","Wed Aug 14 12:16:00 IST 2024","passed","Wed Aug 14 12:16:00 IST 2024","","Tags.spec.js","",""
"","5467","Prajwal","chromium","Thu Aug 15 23:10:24 IST 2024","passed","Thu Aug 15 23:10:29 IST 2024","","Spec\TestingAppWithDifferentData.spec.js","",""
"","1","1st cases","firefox","Wed Aug 14 12:39:53 IST 2024","skipped","Wed Aug 14 12:39:53 IST 2024","","Spec\HandlingNewTabOrWindow.spec.js","",""
"","6254","sachin","chromium","Thu Aug 15 23:10:24 IST 2024","passed","Thu Aug 15 23:10:30 IST 2024","","Spec\TestingAppWithDifferentData.spec.js","",""
"","17783","2nd","firefox","Wed Aug 14 12:39:54 IST 2024","passed","Wed Aug 14 12:40:12 IST 2024","","Spec\HandlingNewTabOrWindow.spec.js","",""
